"0.5"	"1"	"1.5"	"2"	"2.5"	"3"	"3.5"	"4"	"4.5"	"5"	"5.5"	"6"	"6.5"	"7"	"7.5"	"8"	"8.5"	"9"	"9.5"	"10"	"10.5"	"11"	"11.5"	"12"
"4610"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"82"	"88"	"101"	"107"	"121"	"141"	"154"	"168"	"174"	"179"	"192"	"202"	"491"	"323"	"13"
"3429"	"12"	"3"	"36"	"26"	"77"	"118"	"80"	"78"	"83"	"92"	"100"	"117"	"113"	"129"	"56"	"176"	"284"	"339"	"370"	"384"	"416"	"434"	"478"	"497"
"56884"	"12"	"26"	"15"	"17"	"14"	"56"	"16"	"15"	"9"	"48"	"128"	"128"	"127"	"109"	"309"	"264"	"129"	"164"	"243"	"166"	"277"	"431"	"174"	"381"
"5617"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"23"	"187"	"157"	"176"	"10"	"35"	"21"	"83"	"87"	"44"	"77"	"90"	"96"	"330"	"282"
"5015"	"12"	"15"	"10"	"27"	"31"	"78"	"96"	"82"	"78"	"138"	"102"	"200"	"229"	"32"	"83"	"326"	"297"	"266"	"389"	"407"	"398"	"98"	"138"	"461"
"793"	"12"	"15"	"10"	"5"	"31"	"66"	"34"	"79"	"24"	"23"	"187"	"157"	"176"	"10"	"35"	"21"	"83"	"87"	"44"	"77"	"90"	"96"	"330"	"282"
"148398"	"12"	"15"	"15"	"5"	"31"	"56"	"29"	"93"	"19"	"137"	"8"	"13"	"8"	"199"	"198"	"113"	"186"	"196"	"8"	"350"	"296"	"367"	"425"	"358"
"8643"	"12"	"28"	"51"	"40"	"57"	"34"	"83"	"42"	"89"	"97"	"68"	"125"	"87"	"95"	"107"	"196"	"211"	"222"	"228"	"245"	"262"	"274"	"300"	"320"
"11211"	"12"	"28"	"11"	"40"	"57"	"34"	"83"	"140"	"154"	"177"	"152"	"165"	"246"	"95"	"320"	"196"	"211"	"222"	"228"	"245"	"262"	"406"	"307"	"329"
"92737"	"12"	"15"	"40"	"27"	"100"	"59"	"78"	"44"	"39"	"39"	"50"	"228"	"101"	"113"	"127"	"83"	"87"	"157"	"88"	"86"	"98"	"105"	"129"	"526"
"8549"	"12"	"21"	"27"	"40"	"57"	"34"	"83"	"42"	"89"	"97"	"68"	"125"	"87"	"95"	"107"	"175"	"248"	"322"	"364"	"296"	"2"	"342"	"369"	"378"
"4493"	"12"	"15"	"36"	"26"	"106"	"120"	"99"	"134"	"145"	"126"	"141"	"136"	"175"	"209"	"226"	"333"	"348"	"83"	"404"	"424"	"454"	"479"	"318"	"342"
