"A"	"B"	"nab"	"expected_nab"	"pvalue"	"adjusted_p"	"conclusion"
"MB06"	"MONDO_0018881"	7	1.2563	0.000243080202881876	0.00111289731439895	"Overenrichment"
"MB06"	"MONDO_0011628"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0010940"	54	8.2509	3.32546106887237e-29	1.89964246679376e-27	"Overenrichment"
"MB06"	"MONDO_0007534"	3	0.4414	0.00939054375789366	0.0258092303282989	"Overenrichment"
"MB06"	"MONDO_0009183"	0	0.2716	0.758523325933915	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0008679"	7	1.6298	0.00130876503749018	0.00463101474804218	"Overenrichment"
"MB06"	"MONDO_0006292"	1	0.3735	0.367866904015948	0.605604961593404	"No enrichment"
"MB06"	"MONDO_0008000"	5	1.3921	0.0146343325187571	0.0383175752588187	"Overenrichment"
"MB06"	"MONDO_0009068"	3	4.6517	0.464194529176405	0.72929357990325	"No enrichment"
"MB06"	"MONDO_0014106"	4	0.2716	8.5253530492277e-05	0.000442730752526739	"Overenrichment"
"MB06"	"MONDO_0009276"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0009054"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0016581"	18	2.954	7.44342115378482e-10	9.76809322583774e-09	"Overenrichment"
"MB06"	"MONDO_0044339"	0	0.6791	0.501033701041584	0.777931128479834	"No enrichment"
"MB06"	"MONDO_0009692"	0	1.1544	0.308790432106002	0.524655594208099	"No enrichment"
"MB06"	"MONDO_0008554"	0	0.3735	0.683832402686779	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0009723"	13	1.46	1.13437067554121e-09	1.43895496432949e-08	"Overenrichment"
"MB06"	"MONDO_0009641"	10	0.6451	1.40740235762326e-10	2.06734396733232e-09	"Overenrichment"
"MB06"	"MONDO_0018911"	16	14.5663	0.678176953819774	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0012292"	7	2.5126	0.0163596842307135	0.0424157935854155	"Overenrichment"
"MB06"	"MONDO_0007750"	0	1.0186	0.354593778061067	0.586960155351084	"No enrichment"
"MB06"	"MONDO_0014763"	1	0.0679	0.0679083267823667	0.147568069636471	"No enrichment"
"MB06"	"MONDO_0011789"	14	1.6298	4.42226609898159e-10	6.01098066953329e-09	"Overenrichment"
"MB06"	"MONDO_0008392"	3	0.2037	0.000741753746456924	0.00296701498582769	"Overenrichment"
"MB06"	"MONDO_0007790"	5	0.4074	3.01979769579713e-05	0.000178935809228928	"Overenrichment"
"MB06"	"MONDO_0009853"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0007677"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0009626"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0011301"	1	2.1731	0.465274651703844	0.730202990822696	"No enrichment"
"MB06"	"MONDO_0013199"	8	1.2903	3.79143009688805e-05	0.000217600538249393	"Overenrichment"
"MB06"	"MONDO_0008737"	4	0.2716	8.5253530492277e-05	0.000442730752526739	"Overenrichment"
"MB06"	"MONDO_0013517"	2	0.1019	0.00341663599910224	0.0106423573226311	"Overenrichment"
"MB06"	"MONDO_0007705"	1	0.1019	0.101823445890407	0.19418217697625	"No enrichment"
"MB06"	"MONDO_0011120"	5	0.9168	0.00217959065513467	0.00718040796301432	"Overenrichment"
"MB06"	"MONDO_0011380"	15	1.0186	8.2943235310156e-15	1.89275163605944e-13	"Overenrichment"
"MB06"	"MONDO_0008265"	0	0.0679	0.933243566645049	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0010898"	0	0.2037	0.812792102872135	0.9638217303004	"No enrichment"
"MB06"	"MONDO_0012197"	9	1.3242	5.42013352490643e-06	3.7359595431926e-05	"Overenrichment"
"MB06"	"MONDO_0008394"	1	0.1698	0.169393462839509	0.30450408581187	"No enrichment"
"MB06"	"MONDO_0015278"	13	7.402	0.0533618937242294	0.122829326086322	"No enrichment"
